Region,Product Family,Channel Grouping,Channel,Week End Date, GV ,YoY
NA,Hardlines,Discovery Managed,Featured Products,1/31/2026 0:00," 325,724 ",0.5238692291857702
NA,Hardlines,Discovery Managed,Featured Products,1/24/2026 0:00," 366,342 ",0.7636167570117753
NA,Hardlines,Discovery Managed,Featured Products,1/17/2026 0:00," 367,124 ",0.5890268658266857
NA,Hardlines,Discovery Managed,Featured Products,1/10/2026 0:00," 382,483 ",0.34230936605087314
NA,Hardlines,Discovery Managed,Featured Products,1/3/2026 0:00," 347,414 ",0.18519554597309026
NA,Hardlines,Discovery Managed,ValuePick DP Widget,1/31/2026 0:00," 76,887 ",0.086005254
NA,Hardlines,Discovery Managed,ValuePick DP Widget,1/24/2026 0:00," 75,659 ",0.050775662125189226
NA,Hardlines,Discovery Managed,ValuePick DP Widget,1/17/2026 0:00," 82,003 ",0.10611578720189921
NA,Hardlines,Discovery Managed,ValuePick DP Widget,1/10/2026 0:00," 85,610 ",0.25005475651602543
NA,Hardlines,Discovery Managed,ValuePick DP Widget,1/3/2026 0:00," 86,150 ",0.1280902996019275
NA,Hardlines,Discovery Managed,Featured Products on DP,1/31/2026 0:00, 260 ,31.5
NA,Hardlines,Discovery Managed,Featured Products on DP,1/24/2026 0:00, 187 ,45.75
NA,Hardlines,Discovery Managed,Featured Products on DP,1/17/2026 0:00, 355 ,26.307692307692307
NA,Hardlines,Discovery Managed,Featured Products on DP,1/10/2026 0:00, 396 ,65
NA,Hardlines,Discovery Managed,Featured Products on DP,1/3/2026 0:00, 408 ,44.333333333333336
NA,Hardlines,Marketing Managed,Associates,1/31/2026 0:00," 95,480 ",3.185883384480491
NA,Hardlines,Marketing Managed,Associates,1/24/2026 0:00," 88,243 ",2.8783017624049574
NA,Hardlines,Marketing Managed,Associates,1/17/2026 0:00," 88,713 ",2.463998438110113
NA,Hardlines,Marketing Managed,Associates,1/10/2026 0:00," 87,735 ",2.5332850066449195
NA,Hardlines,Marketing Managed,Associates,1/3/2026 0:00," 75,838 ",1.9487149578132898
NA,Hardlines,Marketing Managed,Paid External Search,1/31/2026 0:00," 2,481 ",-0.926110135
NA,Hardlines,Marketing Managed,Paid External Search,1/24/2026 0:00," 2,803 ",-0.908966906
NA,Hardlines,Marketing Managed,Paid External Search,1/17/2026 0:00," 2,909 ",-0.920185475
NA,Hardlines,Marketing Managed,Paid External Search,1/10/2026 0:00," 2,876 ",-0.90936594
NA,Hardlines,Marketing Managed,Paid External Search,1/3/2026 0:00," 2,313 ",-0.937339149
NA,Hardlines,Marketing Managed,Paid Social,1/31/2026 0:00," 7,132 ",-0.850042052
NA,Hardlines,Marketing Managed,Paid Social,1/24/2026 0:00," 10,029 ",-0.77333032
NA,Hardlines,Marketing Managed,Paid Social,1/17/2026 0:00," 65,320 ",0.5605141191647952
NA,Hardlines,Marketing Managed,Paid Social,1/10/2026 0:00," 52,270 ",0.035418565
NA,Hardlines,Marketing Managed,Paid Social,1/3/2026 0:00," 51,227 ",-0.251603384
NA,Hardlines,Marketing Managed,Brand Stores,1/31/2026 0:00," 11,916 ",-0.012104129
NA,Hardlines,Marketing Managed,Brand Stores,1/24/2026 0:00," 12,750 ",-0.152429702
NA,Hardlines,Marketing Managed,Brand Stores,1/17/2026 0:00," 12,812 ",-0.244575472
NA,Hardlines,Marketing Managed,Brand Stores,1/10/2026 0:00," 13,974 ",-0.048934867
NA,Hardlines,Marketing Managed,Brand Stores,1/3/2026 0:00," 14,811 ",-0.170716685
NA,Hardlines,Marketing Managed,Free External Search,1/31/2026 0:00," 1,098 ",-0.634730539
NA,Hardlines,Marketing Managed,Free External Search,1/24/2026 0:00," 1,084 ",-0.654667091
NA,Hardlines,Marketing Managed,Free External Search,1/17/2026 0:00," 1,177 ",-0.646864686
NA,Hardlines,Marketing Managed,Free External Search,1/10/2026 0:00," 1,047 ",-0.668250951
NA,Hardlines,Marketing Managed,Free External Search,1/3/2026 0:00," 1,028 ",-0.671145234
NA,Hardlines,Unmanaged,Organic Search,1/31/2026 0:00," 156,279 ",0.24706943192064923
NA,Hardlines,Unmanaged,Organic Search,1/24/2026 0:00," 180,162 ",0.4370194301757968
NA,Hardlines,Unmanaged,Organic Search,1/17/2026 0:00," 173,095 ",0.3199051409922069
NA,Hardlines,Unmanaged,Organic Search,1/10/2026 0:00," 184,989 ",0.5408687684811129
NA,Hardlines,Unmanaged,Organic Search,1/3/2026 0:00," 176,870 ",0.43801424436567044
NA,Hardlines,Unmanaged,Twister,1/31/2026 0:00," 92,425 ",0.1517708047753159
NA,Hardlines,Unmanaged,Twister,1/24/2026 0:00," 109,709 ",0.1641817969587317
NA,Hardlines,Unmanaged,Twister,1/17/2026 0:00," 113,152 ",0.059267373
NA,Hardlines,Unmanaged,Twister,1/10/2026 0:00," 120,210 ",0.033673276
NA,Hardlines,Unmanaged,Twister,1/3/2026 0:00," 130,643 ",-0.006260174
NA,Hardlines,Unmanaged,Untagged,1/31/2026 0:00," 65,897 ",0.16158998766084964
NA,Hardlines,Unmanaged,Untagged,1/24/2026 0:00," 70,992 ",0.3090667699286386
NA,Hardlines,Unmanaged,Untagged,1/17/2026 0:00," 73,047 ",0.3326096871294354
NA,Hardlines,Unmanaged,Untagged,1/10/2026 0:00," 69,540 ",0.36838583994175406
NA,Hardlines,Unmanaged,Untagged,1/3/2026 0:00," 63,384 ",0.2464896755162242
NA,Hardlines,Unmanaged,Account/Cart,1/31/2026 0:00," 52,754 ",0.15693670775033994
NA,Hardlines,Unmanaged,Account/Cart,1/24/2026 0:00," 59,145 ",0.31949402106014635
NA,Hardlines,Unmanaged,Account/Cart,1/17/2026 0:00," 59,207 ",0.1828625084908299
NA,Hardlines,Unmanaged,Account/Cart,1/10/2026 0:00," 58,768 ",0.1203934951289726
NA,Hardlines,Unmanaged,Account/Cart,1/3/2026 0:00," 61,027 ",0.072907876
NA,Hardlines,Unmanaged,Lists/Past Purchases,1/31/2026 0:00," 38,467 ",0.21993530381834328
NA,Hardlines,Unmanaged,Lists/Past Purchases,1/24/2026 0:00," 42,914 ",0.38727613629016616
NA,Hardlines,Unmanaged,Lists/Past Purchases,1/17/2026 0:00," 45,226 ",0.3133348821001278
NA,Hardlines,Unmanaged,Lists/Past Purchases,1/10/2026 0:00," 49,039 ",0.4494428516537109
NA,Hardlines,Unmanaged,Lists/Past Purchases,1/3/2026 0:00," 50,566 ",0.3956171340251711
NA,Hardlines,Unmanaged,Other,1/31/2026 0:00," 31,224 ",0.8879013241429349
NA,Hardlines,Unmanaged,Other,1/24/2026 0:00," 35,647 ",1.4128198186002436
NA,Hardlines,Unmanaged,Other,1/17/2026 0:00," 35,921 ",1.1117577895355673
NA,Hardlines,Unmanaged,Other,1/10/2026 0:00," 28,828 ",0.5591973605927849
NA,Hardlines,Unmanaged,Other,1/3/2026 0:00," 26,456 ",0.3032512315270936
NA,Hardlines,Unmanaged,Homepage Personalization,1/31/2026 0:00," 10,482 ",0.8267689090275357
NA,Hardlines,Unmanaged,Homepage Personalization,1/24/2026 0:00," 11,917 ",0.49579515501443455
NA,Hardlines,Unmanaged,Homepage Personalization,1/17/2026 0:00," 9,172 ",-0.429247044
NA,Hardlines,Unmanaged,Homepage Personalization,1/10/2026 0:00," 5,956 ",-0.345566421
NA,Hardlines,Unmanaged,Homepage Personalization,1/3/2026 0:00," 6,942 ",-0.144230769
NA,Hardlines,Unmanaged,Other Personalization,1/31/2026 0:00," 21,850 ",0.5196828487967728
NA,Hardlines,Unmanaged,Other Personalization,1/24/2026 0:00," 27,896 ",0.7970753076080654
NA,Hardlines,Unmanaged,Other Personalization,1/17/2026 0:00," 25,161 ",0.38406953077727046
NA,Hardlines,Unmanaged,Other Personalization,1/10/2026 0:00," 21,545 ",0.3278072229754715
NA,Hardlines,Unmanaged,Other Personalization,1/3/2026 0:00," 22,480 ",0.29979762937265103
NA,Hardlines,Unmanaged,Detail Page,1/31/2026 0:00," 16,394 ",-0.054719483
NA,Hardlines,Unmanaged,Detail Page,1/24/2026 0:00," 14,464 ",-0.055751404
NA,Hardlines,Unmanaged,Detail Page,1/17/2026 0:00," 22,292 ",0.3406302622083233
NA,Hardlines,Unmanaged,Detail Page,1/10/2026 0:00," 21,192 ",0.43752543752543754
NA,Hardlines,Unmanaged,Detail Page,1/3/2026 0:00," 19,899 ",0.3281051858773276
NA,Hardlines,Unmanaged,Push Notification,1/31/2026 0:00," 3,552 ",0.2265193370165746
NA,Hardlines,Unmanaged,Push Notification,1/24/2026 0:00," 3,897 ",0.3336755646817248
NA,Hardlines,Unmanaged,Push Notification,1/17/2026 0:00," 3,167 ",0.43108901943063715
